config_name,hidden_layers,activation,optimizer,learning_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
128-64 (ReLU + SGD lr=0.1),"[128, 64]",ReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (ReLU + SGD lr=0.01),"[128, 64]",ReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (ReLU + SGD lr=0.001),"[128, 64]",ReLU,sgd,0.001,0.9188271604938272,0.07901234567901234,0.4852925389157273,0.029414922168545354,0.004210526315789474,0.008421052631578947
128-64 (ReLU + SGD lr=0.0001),"[128, 64]",ReLU,sgd,0.0001,0.6565843621399178,0.37270154703978,0.46951154052603333,0.04872024963311129,0.02548398615186375,0.03204095471652015
128-64 (ReLU + RMSPROP lr=0.1),"[128, 64]",ReLU,rmsprop,0.1,0.9581275720164608,0.0004115226337448874,0.5223295759527644,0.044659151905528695,0.0628099173553719,0.1256198347107438
128-64 (ReLU + RMSPROP lr=0.01),"[128, 64]",ReLU,rmsprop,0.01,0.987037037037037,0.007419899731277953,0.9070316693505098,0.023516869350340572,0.8463117171268445,0.06800355810091298
128-64 (ReLU + RMSPROP lr=0.001),"[128, 64]",ReLU,rmsprop,0.001,0.9652263374485596,0.007524016428385714,0.582716049382716,0.09028819714062876,0.24743172288066978,0.23643830631375043
128-64 (ReLU + RMSPROP lr=0.0001),"[128, 64]",ReLU,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (Tanh + ADAM lr=0.1),"[128, 64]",Tanh,adam,0.1,0.956687242798354,0.002528437392478302,0.6378958668813741,0.14375972307547108,0.27460532004594673,0.2420720377745858
128-64 (Tanh + ADAM lr=0.01),"[128, 64]",Tanh,adam,0.01,0.992849794238683,0.0006172839506172664,0.9378153515834674,0.006372418337329941,0.910975728911963,0.007318491284950714
128-64 (Tanh + ADAM lr=0.001),"[128, 64]",Tanh,adam,0.001,0.951388888888889,0.0028733004205285816,0.49637681159420294,0.0014991132628844877,0.0,0.0
